NR CRT,NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
1,"Alba Iulia smart City","Strada Gabriel Bethlen 5 Alba Iulia","Business & Services","Bulevardul Revoluţiei 1989,Nr.31 510024 Alba Iulia Get Directions Highlights info row image 0758 700 453 Highlights info row image Typically replies within a few hours Send message Highlights info row image Restaurant Highlights info row image Opens on Monday Closed now Highlights info row image Suggest Edits","Alba",46.07008,23.57189,0
2,"Ideativ City Tour - Day Tours","Strada Iederei 26 510041 Alba Iulia","Educational Facility","Alba Iulia (Romanian pronunciation: [alba juli.a] (About this soundlisten); German: Karlsburg or Carlsburg, formerly Weizenburg, Hungarian: Gyulafehervar, Latin: Apulum,[2] Ottoman Turkish: Erdel Belgrad or Belgrad-I Erdel) is the seat of Alba County in the west-central part of Romania. Located on the Mureş River in the historical region of Transylvania, it has a population of 63,536 (as of 2011).[3] Since the High Middle Ages, the city has been the seat of Transylvania's Roman Catholic diocese. Between 1541 and 1690 it was the capital of the Eastern Hungarian Kingdom and the latter Principality of Transylvania. At one point it also was a center of Eastern Orthodox Metropolitan of Transylvania with suffragan to Vad diocese.[4][5] Alba Iulia is historically important for Romanians, Hungarians, and Transylvanian Saxons. In December 2018, Alba Iulia was officially declared Capital of the Great Union of Romania.[6] The city administers four villages: Bârăban (Borbond), Miceşti (Ompolykisfalud), Oarda (Alsavaradja) and Pâcliţa (Poklos).","Alba",46.06836,23.55189,0
3,"City Cafe Bistro","Bulevardul Revoluției 1989 31 Alba Iulia","Restaurant","The Alba Carolina Citadel (Romanian: Cetatea Alba Carolina) is a star-shaped Romanian fortress located in Alba Iulia.[2][3][4][5][6][7] Its construction commenced on November 4, 1715 during the Habsburg rule in Transylvania, and was completed in 1738. 20,000 serfs were involved in its construction, which is estimated to have cost around 3 million guldens. The citadel was built on the site of 2 other fortifications the legionary fortress of Legio XIII Gemina, as well as the medieval Balgrad citadel.","Alba",46.073047,23.558291,0
4,"Alba Iulia","Alba Iulia","Railway Station","The Alba Carolina Citadel (Romanian: Cetatea Alba Carolina) is a star-shaped Romanian fortress located in Alba Iulia.[2][3][4][5][6][7] Its construction commenced on November 4, 1715 during the Habsburg rule in Transylvania, and was completed in 1738. 20,000 serfs were involved in its construction, which is estimated to have cost around 3 million guldens. The citadel was built on the site of 2 other fortifications the legionary fortress of Legio XIII Gemina, as well as the medieval Balgrad citadel.","Alba",46.05644,23.57586,0
5,"Cetatea Alba Iulia","Strada Mihai Viteazul Alba Iulia","Landmark/Attraction","The Alba Carolina Citadel (Romanian: Cetatea Alba Carolina) is a star-shaped Romanian fortress located in Alba Iulia.[2][3][4][5][6][7] Its construction commenced on November 4, 1715 during the Habsburg rule in Transylvania, and was completed in 1738. 20,000 serfs were involved in its construction, which is estimated to have cost around 3 million guldens. The citadel was built on the site of 2 other fortifications— the legionary fortress of Legio XIII Gemina, as well as the medieval Balgrad citadel.","Alba",46.06831,23.57666,0
6,"Cetatea Alba Carolina","Strada Militari 510009 Alba Iulia","Museum","The Alba Carolina Citadel (Romanian: Cetatea Alba Carolina) is a star-shaped Romanian fortress located in Alba Iulia.[2][3][4][5][6][7] Its construction commenced on November 4, 1715 during the Habsburg rule in Transylvania, and was completed in 1738. 20,000 serfs were involved in its construction, which is estimated to have cost around 3 million guldens. The citadel was built on the site of 2 other fortifications— the legionary fortress of Legio XIII Gemina, as well as the medieval Balgrad citadel.","Alba",46.06747,23.57233,0
7,"Citadel of Alba Iulia","Strada Unirii 510009 Alba Iulia","Sights & Museums","Gradinita cu program normal Emanuel isi propune promovarea si cultivarea, inca de la varsta prescolaritatii, a valorilor crestin-morale necesare unei bune integrari in viata sociala in general, precum si responsabilizarea copiilor in a-si forma un comportament altruist, bazat pe credinta in Dumnezeu si a manifestarii acesteia prin comportamente pro-sociale. Dorim ca timpul petrecut de prescolari in gradinita sa fie pentru copii, o experienta pozitiva din care sa beneficieze de resursele necesare pentru a deveni intr-adevar oameni de nădejde pentru societatea de maine si pentru a trai cu demnitate Din specificul gradinitei face parte si optionalul de educatie crestină. Micul Crestin?.","Alba",46.069855,23.566324,0
8,"Alba Mall","Strada Tudor Vladimirescu Alba Iulia","Shopping Centre","Tipul institutiei: Scoala cu clasele I-VIII","Alba",46.08059,23.58406,0
9,"Grădinița Emanuel Alba-Iulia","DN1 510158 Alba Iulia","Educational Facility","Municipiul Alba Iulia fiind o zona cu obietive turistice duce implicit la cresterea numarului calatorilor si a turistilor care solicita serviciile diferitelor autogari din Alba Iulia. Datorita zonei istorice a orasului, autogarile din Alba Iulia au un flux continuu de persoane.  Diferite autogari din Alba Iulia desfasoara zilnic curse cu plecare spre regiuni nationale si internationale. Autogarile din Alba Iulia incearca sa ofere calatorilor conditii de transport public pe masura asteptarilor lor. Mersul autobuzelor si autocarelor se desfasoara conform orarului stabilit. Rezervarea biletelor se poate face telefonic la diferite autogari din Alba Iulia sau direct de la autogara respectiva. Informatii Autogari Alba Iulia Autogara Autotrans Adresa: Str. Iasilor, Nr. 94 Telefon: 0258/812967 Fax: 0258/812967","Alba",46.04495,23.56512,0
10,"Școala Sfântul Iosif Alba-Iulia","Strada Regimentul 5 Vânători 510158 Alba Iulia","Educational Facility","cauta produse precum bere, tv, mobila, scutece","Alba",46.0476,23.56674,0
